WARNING    't' is an internal variable of group 'synapses', but also exists in the run namespace with the value array([3.93724845e-03, 7.25984527e-03, 8.92810434e-03, ...,
       2.99998989e+03, 2.99999457e+03, 2.99999776e+03]) * second. The internal variable will be used. [brian2.groups.group.Group.resolve.resolution_conflict]
[t=200s] wall=34s
[t=400s] wall=69s
[t=600s] wall=103s
[t=800s] wall=137s
[t=1000s] wall=172s
[t=1200s] wall=206s
[t=1400s] wall=241s
[t=1600s] wall=275s
[t=1800s] wall=310s
[t=2000s] wall=344s
[t=2200s] wall=379s
[t=2400s] wall=414s
[t=2600s] wall=449s
[t=2800s] wall=483s
[t=3000s] wall=519s
nonstationary seed 30004 -> C:\Users\urawi\OneDrive\Desktop\a wide variety of vscode projects\developing-mind\notebooks\brian2\nonstationary_data\nonstat_reliable_13_1p5_seed30004.json
