WARNING    't' is an internal variable of group 'synapses', but also exists in the run namespace with the value array([5.71543319e-03, 5.75213975e-03, 6.07911553e-03, ...,
       2.99997730e+03, 2.99998931e+03, 2.99999519e+03]) * second. The internal variable will be used. [brian2.groups.group.Group.resolve.resolution_conflict]
[t=200s] wall=39s
[t=400s] wall=75s
[t=600s] wall=111s
[t=800s] wall=146s
[t=1000s] wall=181s
[t=1200s] wall=217s
[t=1400s] wall=252s
[t=1600s] wall=287s
[t=1800s] wall=322s
[t=2000s] wall=357s
[t=2200s] wall=392s
[t=2400s] wall=426s
[t=2600s] wall=462s
[t=2800s] wall=497s
[t=3000s] wall=532s
nonstationary seed 31002 -> C:\Users\urawi\OneDrive\Desktop\a wide variety of vscode projects\developing-mind\notebooks\brian2\nonstationary_data\nonstat_n7_reliable_13_1p5_seed31002.json
